Ingrese tamaño de la matriz R
Ingrese gamma (-1 default)Ingrese alpha (-1 default)q matrix, only best values are printed xD
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
0:	-7.4978	-7.4978	-7.4977	-7.4977	-7.4977	-7.4995	-7.4995	-13.1240	-11.2491	-7.4990	-7.4984	-7.4972	-7.4968	-7.4958	-7.4939	-7.4900	-7.4823	-7.4669	-7.4362	-7.3746	
1:	0.0037	0.0037	0.0037	0.0037	0.0037	0.0002	0.0000	-11.2491	-7.4990	0.0011	0.0025	0.0047	0.0057	0.0076	0.0115	0.0191	0.0346	0.0653	0.1269	0.2500	
2:	0.0077	0.0077	0.0077	0.0077	0.0077	0.0006	0.0000	-7.4990	0.0011	0.0025	0.0051	0.0096	0.0115	0.0154	0.0231	0.0385	0.0693	0.1309	0.2540	0.5003	
3:	0.0148	0.0148	0.0148	0.0148	0.0148	0.0007	0.0000	-7.4984	0.0025	0.0051	0.0096	0.0187	0.0225	0.0302	0.0456	0.0764	0.1380	0.2611	0.5074	1.0000	
4:	0.0148	0.0148	0.0148	0.0148	0.0148	0.0007	0.0001	-7.4972	0.0047	0.0096	0.0187	0.0225	0.0302	0.0456	0.0764	0.1380	0.2611	0.5074	1.0000	0.5003	
5:	0.0148	0.0148	0.0148	0.0148	0.0148	0.0010	0.0003	-7.4975	0.0042	0.0086	0.0167	0.0187	0.0225	0.0302	0.0456	0.0764	0.1380	0.2611	0.5074	1.0000	
6:	0.0077	0.0077	0.0077	0.0148	0.0148	0.0014	0.0008	-7.4976	0.0040	0.0082	0.0157	0.0167	0.0115	0.0154	0.0231	0.0385	0.0693	0.1309	0.2540	0.5003	
7:	0.0037	0.0037	0.0077	0.0148	0.0148	0.0023	0.0018	-7.4977	0.0039	0.0079	0.0153	0.0157	0.0061	0.0076	0.0115	0.0191	0.0346	0.0653	0.1269	0.2500	
8:	-7.4977	0.0037	0.0077	0.0148	0.0148	0.0041	0.0037	0.0037	0.0038	0.0078	0.0151	0.0153	0.0033	0.0037	-7.4939	-7.4900	-7.4823	-7.4669	-7.4362	-7.3746	
9:	-7.4978	0.0037	0.0077	0.0148	0.0148	0.0077	0.0077	0.0077	0.0077	0.0077	0.0149	0.0151	0.0019	0.0017	-11.2465	-11.2446	-11.2407	-11.2331	-11.2177	-11.1869	
10:	-7.4977	0.0037	0.0077	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0149	0.0013	0.0007	-13.1228	-13.1219	-13.1200	-13.1162	-13.1084	-11.2484	
11:	-7.4977	0.0037	0.0077	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0009	0.0003	-14.0610	-14.0606	-14.0596	-14.0577	-13.1237	-11.2484	
12:	-7.4986	0.0019	0.0041	0.0077	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0148	0.0007	0.0001	-14.5301	-14.5299	-14.5293	-14.0615	-13.1240	-11.2488	
13:	-7.4992	0.0009	0.0019	0.0041	0.0077	0.0077	0.0077	0.0077	0.0077	0.0077	0.0077	0.0077	0.0007	0.0000	-14.7646	-14.7645	-14.5303	-14.0616	-13.1241	-11.2491	
14:	-11.2491	-7.4991	0.0009	0.0019	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0002	0.0000	-14.8818	-14.8817	-14.7647	-14.5303	-14.0616	-13.1240	
15:	-13.1240	-11.2491	-7.4992	-7.4986	-7.4977	-7.4978	-7.4978	-7.4977	-7.4977	-7.4977	-7.4978	-7.4978	-7.4994	-7.4995	-14.7645	-14.7644	-14.7642	-14.7637	-14.5303	-14.0616	
16:	-14.0616	-13.1240	-11.2491	-11.2488	-11.2484	-11.2485	-11.2485	-11.2484	-11.2484	-11.2484	-11.2484	-11.2484	-11.2492	-11.2493	-14.5300	-14.5298	-14.5293	-14.5283	-14.5265	-14.5226	
17:	-14.0614	-14.0614	-13.1241	-13.1240	-13.1237	-13.1237	-13.1237	-13.1237	-13.1237	-13.1237	-13.1237	-13.1237	-13.1241	-13.1242	-14.0609	-14.0604	-14.0595	-14.0576	-14.0538	-14.0461	
18:	-13.1237	-13.1237	-13.1237	-13.1237	-13.1237	-13.1242	-13.1242	-14.0614	-14.0614	-13.1240	-13.1239	-13.1237	-13.1236	-13.1233	-13.1228	-13.1219	-13.1200	-13.1161	-13.1084	-13.0931	
19:	-11.2485	-11.2485	-11.2484	-11.2484	-11.2484	-11.2493	-11.2493	-14.0616	-13.1240	-11.2491	-11.2488	-11.2482	-11.2480	-11.2475	-11.2465	-11.2446	-11.2407	-11.2331	-11.2177	-11.1869	
