Ingrese tamaño de la matriz R
Ingrese gamma (-1 default)Ingrese alpha (-1 default)q matrix, only best values are printed xD
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
0:	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0013	-0.0010	-0.0006	-0.0004	-0.0001	0.0004	0.0014	0.0033	0.0072	0.0150	0.0306	0.0618	0.1242	
1:	0.0004	0.0004	0.0004	0.0004	0.0004	0.0000	0.0000	-0.0010	-0.0006	0.0003	0.0007	0.0013	0.0023	0.0043	0.0082	0.0160	0.0316	0.0628	0.1252	0.2500	
2:	0.0008	0.0008	0.0008	0.0008	0.0008	0.0001	0.0000	-0.0006	0.0003	0.0007	0.0014	0.0027	0.0047	0.0086	0.0164	0.0320	0.0632	0.1256	0.2504	0.5000	
3:	0.0015	0.0015	0.0015	0.0015	0.0015	0.0001	0.0000	-0.0004	0.0007	0.0014	0.0027	0.0054	0.0093	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	
4:	0.0015	0.0015	0.0015	0.0015	0.0015	0.0001	0.0000	-0.0001	0.0013	0.0027	0.0054	0.0093	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	0.5000	
5:	0.0015	0.0015	0.0015	0.0015	0.0015	0.0001	0.0000	-0.0003	0.0009	0.0017	0.0034	0.0054	0.0093	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	
6:	0.0008	0.0008	0.0008	0.0015	0.0015	0.0001	0.0001	-0.0004	0.0006	0.0013	0.0025	0.0034	0.0047	0.0086	0.0164	0.0320	0.0632	0.1256	0.2504	0.5000	
7:	0.0004	0.0004	0.0008	0.0015	0.0015	0.0002	0.0002	-0.0005	0.0005	0.0010	0.0020	0.0025	0.0024	0.0043	0.0082	0.0160	0.0316	0.0628	0.1252	0.2500	
8:	-0.0006	0.0004	0.0008	0.0015	0.0015	0.0004	0.0004	0.0004	0.0004	0.0009	0.0017	0.0020	0.0012	0.0021	0.0033	0.0072	0.0150	0.0306	0.0618	0.1242	
9:	-0.0006	0.0004	0.0008	0.0015	0.0015	0.0008	0.0008	0.0008	0.0008	0.0008	0.0016	0.0017	0.0006	0.0011	0.0009	0.0029	0.0068	0.0146	0.0302	0.0614	
10:	-0.0006	0.0004	0.0008	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0016	0.0003	0.0005	-0.0003	0.0007	0.0026	0.0065	0.0143	0.0299	
11:	-0.0006	0.0004	0.0008	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0002	0.0002	-0.0009	-0.0004	0.0005	0.0025	0.0064	0.0142	
12:	-0.0007	0.0002	0.0004	0.0008	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0001	0.0001	-0.0012	-0.0010	-0.0005	0.0005	0.0024	0.0063	
13:	-0.0007	0.0001	0.0002	0.0004	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0008	0.0001	0.0000	-0.0013	-0.0012	-0.0010	-0.0005	0.0005	0.0024	
14:	-0.0011	-0.0007	0.0001	0.0002	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0004	0.0000	0.0000	-0.0014	-0.0014	-0.0012	-0.0010	-0.0005	0.0004	
15:	-0.0013	-0.0011	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0007	-0.0013	-0.0012	-0.0010	-0.0005	0.0005	0.0024	
16:	-0.0014	-0.0013	-0.0011	-0.0011	-0.0010	-0.0010	-0.0010	-0.0010	-0.0010	-0.0010	-0.0010	-0.0010	-0.0011	-0.0011	-0.0012	-0.0010	-0.0005	0.0005	0.0024	0.0063	
17:	-0.0014	-0.0014	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0011	-0.0009	-0.0004	0.0005	0.0025	0.0064	0.0142	
18:	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0013	-0.0014	-0.0014	-0.0013	-0.0012	-0.0011	-0.0010	-0.0008	-0.0003	0.0007	0.0026	0.0065	0.0143	0.0299	
19:	-0.0010	-0.0010	-0.0010	-0.0010	-0.0010	-0.0011	-0.0011	-0.0014	-0.0013	-0.0010	-0.0010	-0.0008	-0.0005	-0.0001	0.0009	0.0029	0.0068	0.0146	0.0302	0.0614	
