Ingrese tamaño de la matriz R
Ingrese gamma (-1 default)Ingrese alpha (-1 default)q matrix, only best values are printed xD
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
0:	-0.7498	-0.7498	-0.7498	-0.7498	-0.7498	-0.7499	-0.7499	-1.3086	-1.1172	-0.7344	-0.7187	-0.6874	-0.7488	-0.7479	-0.7459	-0.7420	-0.7342	-0.7186	-0.6874	-0.6250	
1:	0.0004	0.0004	0.0004	0.0004	0.0004	0.0001	0.0002	-1.1172	-0.7344	0.0313	0.0626	0.1251	0.0023	0.0043	0.0082	0.0160	0.0316	0.0628	0.1252	0.2500	
2:	0.0008	0.0008	0.0008	0.0008	0.0009	0.0003	0.0005	-0.7344	0.0313	0.0626	0.1252	0.2503	0.0047	0.0086	0.0164	0.0320	0.0632	0.1256	0.2504	0.5000	
3:	0.0015	0.0015	0.0015	0.0016	0.0017	0.0006	0.0010	-0.7187	0.0626	0.1252	0.2503	0.5005	0.0093	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	
4:	0.0015	0.0015	0.0016	0.0017	0.0020	0.0010	0.0019	-0.6874	0.1251	0.2503	0.5005	0.2510	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	0.5000	
5:	0.0015	0.0015	0.0015	0.0020	0.0025	0.0020	0.0039	-0.7186	0.0628	0.1255	0.2510	0.5005	0.0093	0.0171	0.0327	0.0639	0.1263	0.2511	0.5007	1.0000	
6:	0.0008	0.0008	0.0013	0.0025	0.0034	0.0040	0.0079	-0.7342	0.0316	0.0631	0.1262	0.2510	0.0047	0.0086	0.0164	0.0320	0.0632	0.1256	0.2504	0.5000	
7:	0.0004	0.0009	0.0017	0.0034	0.0054	0.0080	0.0158	-0.7186	0.0160	0.0320	0.0639	0.1262	0.0024	0.0043	0.0082	0.0160	0.0316	0.0628	0.1252	0.2500	
8:	-0.7493	0.0013	0.0027	0.0054	0.0093	0.0160	0.0315	0.0627	0.1250	0.0164	0.0327	0.0639	0.0012	0.0021	-0.7459	-0.7420	-0.7342	-0.7186	-0.6874	-0.6250	
9:	-0.7488	0.0023	0.0047	0.0093	0.0171	0.0319	0.0631	0.1254	0.2500	0.0086	0.0171	0.0327	0.0006	0.0011	-1.1229	-1.1210	-1.1171	-1.1093	-1.0937	-1.0625	
10:	-0.7479	0.0043	0.0086	0.0171	0.0326	0.0638	0.1261	0.2507	0.5000	0.0047	0.0093	0.0171	0.0003	0.0005	-1.3115	-1.3105	-1.3085	-1.3046	-1.2968	-1.1239	
11:	-0.7459	0.0082	0.0163	0.0326	0.0638	0.1261	0.2507	0.5000	0.2500	0.0034	0.0054	0.0093	0.0002	0.0002	-1.4057	-1.4052	-1.4043	-1.4023	-1.3115	-1.1229	
12:	-0.7479	0.0041	0.0082	0.0163	0.0326	0.0638	0.1261	0.2507	0.5000	0.0025	0.0034	0.0054	0.0001	0.0001	-1.4529	-1.4526	-1.4521	-1.4060	-1.3120	-1.1240	
13:	-0.7490	0.0020	0.0041	0.0082	0.0163	0.0319	0.0631	0.1254	0.2500	0.0013	0.0017	0.0027	0.0001	0.0000	-1.4764	-1.4763	-1.4531	-1.4061	-1.3122	-1.1245	
14:	-1.1245	-0.7490	0.0020	0.0041	0.0082	0.0160	0.0315	0.0627	0.1250	0.0006	0.0009	0.0013	0.0000	0.0000	-1.4882	-1.4881	-1.4765	-1.4530	-1.4061	-1.3122	
15:	-1.3122	-1.1245	-0.7490	-0.7479	-0.7459	-0.7420	-0.7342	-0.7186	-0.6875	-0.7497	-0.7496	-0.7493	-0.7500	-0.7500	-1.4764	-1.4763	-1.4761	-1.4756	-1.4530	-1.4061	
16:	-1.4061	-1.3122	-1.1245	-1.1240	-1.1229	-1.1210	-1.1171	-1.1093	-1.0937	-1.1248	-1.1248	-1.1247	-1.1250	-1.1250	-1.4529	-1.4526	-1.4521	-1.4512	-1.4492	-1.4453	
17:	-1.4062	-1.4061	-1.3122	-1.3120	-1.3115	-1.3105	-1.3085	-1.3047	-1.2969	-1.3124	-1.3124	-1.3123	-1.3125	-1.3125	-1.4057	-1.4052	-1.4043	-1.4023	-1.3984	-1.3906	
18:	-1.3124	-1.3124	-1.3124	-1.3124	-1.3124	-1.3125	-1.3124	-1.4023	-1.3984	-1.3086	-1.3047	-1.2968	-1.3122	-1.3120	-1.3115	-1.3105	-1.3085	-1.3046	-1.2968	-1.2812	
19:	-1.1249	-1.1249	-1.1249	-1.1249	-1.1249	-1.1249	-1.1249	-1.4043	-1.3086	-1.1172	-1.1093	-1.0937	-1.1244	-1.1239	-1.1229	-1.1210	-1.1171	-1.1093	-1.0937	-1.0625	
